  f  zad   ion[i,j]
  66   265   79
  66   268   80
  66   269   84
  66   270   88
  66   271   99
  66   272  131
  66   273  134
  66   274  141
  66   275  138
  66   276  126
  66   277  126
  66   278  102
  66   523   78
  66   524   85
  66   525   91
  66   526   87
  66   530   84
  66   531   88
  66   532   95
  66   533   89
  66   534   74
  66   546   76
  66   547   89
  66   548   89
  66   549   79
  66   554   90
  66   555   87
  66   560   74
  67   253   77
  67   254   95
  67   255  101
  67   256   89
  67   257   75
  67   258   76
  67   259   84
  67   260   94
  67   261   89
  67   267   73
  67   268   79
  67   269   87
  67   270  102
  67   271  116
  67   272  135
  67   273  132
  67   274  136
  67   275  146
  67   276  141
  67   277  127
  67   278  108
  67   279   85
  67   521   71
  67   523   75
  67   524   96
  67   525  102
  67   526   93
  67   532   92
  67   533   87
  67   534   79
  67   539   71
  67   546   81
  67   547   92
  67   548   87
  67   554   74
  67   555   80
  67   777   70
  68   255   98
  68   256   97
  68   257   79
  68   259   71
  68   260   93
  68   261   95
  68   262   90
  68   263   85
  68   267   86
  68   268   90
  68   269   92
  68   270  110
  68   271  123
  68   272  134
  68   273  119
  68   274  124
  68   275  142
  68   276  133
  68   277  110
  68   278   83
  68   279   94
  68   280   71
  68   522   76
  68   523   84
  68   524   83
  68   525   97
  68   526   99
  68   527   78
  68   530   76
  68   531   81
  68   532   85
  68   534   72
  68   535   85
  68   536   77
  68   539   74
  68   540   76
  68   555   72
  68   658   75
  69   255   96
  69   256   95
  69   259   80
  69   260   81
  69   261   77
  69   262  100
  69   263  101
  69   264   97
  69   265   96
  69   266  101
  69   267  108
  69   268  112
  69   269  114
  69   270  105
  69   271  105
  69   272  132
  69   273  125
  69   274  125
  69   275  132
  69   276  114
  69   277   76
  69   278   94
  69   279  105
  69   280   90
  69   522   78
  69   523   81
  69   525   85
  69   526   97
  69   527   93
  69   528   83
  69   533   76
  69   534   84
  69   535   87
  69   536   73
  69   540   86
  70   254   72
  70   255   91
  70   256   95
  70   257   80
  70   259   82
  70   260   87
  70   261   89
  70   262   97
  70   263   90
  70   264   94
  70   265   73
  70   266  103
  70   267  109
  70   268  111
  70   269  107
  70   270  117
  70   271  126
  70   272  128
  70   273  107
  70   274  104
  70   275  118
  70   276  108
  70   277  107
  70   278  116
  70   279  119
  70   280  108
  70   281   85
  70   282   73
  70   519   71
  70   524   79
  70   525   77
  70   526   78
  70   527   86
  70   528   79
  70   530   70
  70   534   90
  70   535   74
  70   539   81
  70   540   95
  70   541   96
  70   542   84
  71   255   77
  71   256   88
  71   257   86
  71   259   79
  71   260   92
  71   261   98
  71   262   96
  71   263   76
  71   264   99
  71   265   96
  71   266  103
  71   268  102
  71   269   81
  71   270  122
  71   271  134
  71   272  118
  71   273  103
  71   274  126
  71   275  115
  71   276  104
  71   277  104
  71   278  116
  71   279  120
  71   280  113
  71   281  104
  71   283   78
  71   524   79
  71   529   83
  71   530   92
  71   531   92
  71   532   86
  71   533   90
  71   534   99
  71   535   78
  71   537   82
  71   538   81
  71   540   92
  71   541  105
  71   542  101
  71   543   89
  71   544   76
  72   258   84
  72   259   88
  72   261   84
  72   262   95
  72   263  100
  72   264  109
  72   265  113
  72   266  107
  72   267   90
  72   268  103
  72   269  121
  72   270  128
  72   271  125
  72   272  131
  72   273  133
  72   274  144
  72   275  142
  72   276  131
  72   277  110
  72   278  121
  72   279  120
  72   280  109
  72   281  127
  72   282  113
  72   283   84
  72   529   88
  72   530   94
  72   531   97
  72   532   98
  72   533  103
  72   534  108
  72   535   98
  72   537   95
  72   540   86
  72   541  104
  72   542   97
  72   543   85
  72   544   87
  73   259   88
  73   260   82
  73   261   83
  73   263   84
  73   264  104
  73   265  107
  73   266  104
  73   267   81
  73   268  101
  73   269  128
  73   270  131
  73   271  105
  73   272  141
  73   273  145
  73   274  147
  73   275  151
  73   276  141
  73   277  123
  73   278  125
  73   279  139
  73   280  145
  73   281  148
  73   282  139
  73   283  117
  73   284   98
  73   532   83
  73   533   85
  73   534  107
  73   535  110
  73   536  108
  73   537  112
  73   538  108
  73   539  100
  73   540  105
  73   541   89
  73   544   85
  73   545   84
  74   260   92
  74   261   84
  74   264   87
  74   265   85
  74   266   84
  74   267  105
  74   268  111
  74   269  118
  74   270  132
  74   271  143
  74   272  151
  74   273  135
  74   274  131
  74   275  149
  74   276  126
  74   277  115
  74   278  113
  74   279  145
  74   280  154
  74   281  152
  74   282  147
  74   283  142
  74   284  125
  74   285   99
  74   286   95
  74   534   95
  74   535  105
  74   536  100
  74   537  112
  74   538  119
  74   539  119
  74   540  116
  74   541   99
  74   542   89
  74   543   91
  74   544   91
  74   548   81
  74   549   81
  74   551   83
  74   552   79
  75   260   89
  75   261   88
  75   265   87
  75   266  104
  75   267  115
  75   268   96
  75   270  116
  75   271  142
  75   272  152
  75   273  148
  75   274  143
  75   275  147
  75   276  137
  75   277  139
  75   278  141
  75   279  130
  75   280  146
  75   281  139
  75   282  125
  75   283  153
  75   284  148
  75   285  130
  75   286  108
  75   535   91
  75   537   98
  75   538  110
  75   539  109
  75   540  113
  75   541  110
  75   542   97
  75   544   92
  75   545   97
  75   546   97
  75   547   84
  75   549   84
  76   265   93
  76   266  115
  76   267  119
  76   268  102
  76   270  107
  76   271  124
  76   272  138
  76   273  147
  76   274  132
  76   275  137
  76   276  161
  76   277  165
  76   278  156
  76   279  131
  76   280  132
  76   281  130
  76   282  143
  76   283  158
  76   284  154
  76   285  132
  76   286  115
  76   287  100
  76   288   96
  76   293   81
  76   535   85
  76   538   85
  76   540   93
  76   541  102
  76   542   85
  76   544   90
  76   545  108
  76   546  109
  76   547  100
  76   548   94
  76   549   90
  76   552   85
  76   553   90
  76   554   91
  76   555   85
  76   558   85
  77   265   95
  77   266  112
  77   267  114
  77   268  110
  77   269  105
  77   270  100
  77   272  105
  77   273  133
  77   274  139
  77   275  150
  77   276  168
  77   277  172
  77   278  167
  77   279  157
  77   280  137
  77   281  134
  77   282  150
  77   283  155
  77   284  148
  77   285  121
  77   286  115
  77   287  127
  77   288  114
  77   535   80
  77   541   87
  77   544   95
  77   545  103
  77   546   99
  77   547  104
  77   548  110
  77   549  106
  77   550   89
  77   552   79
  77   553   83
  77   554   85
  77   555   90
  77   556   80
  77   558   94
  77   559   81
  78   265   87
  78   266   96
  78   268   94
  78   269   99
  78   270   88
  78   272   86
  78   273  114
  78   274  127
  78   275  148
  78   276  162
  78   277  162
  78   278  151
  78   279  161
  78   280  159
  78   281  139
  78   282  135
  78   283  144
  78   284  119
  78   285  133
  78   286  131
  78   287  138
  78   288  130
  78   289  103
  78   545   86
  78   547   86
  78   548  104
  78   549  110
  78   550  106
  78   551   96
  78   556   99
  78   557  100
  78   558   99
  78   559   94
  78   560   94
  78   561   86
  79   272   87
  79   273   93
  79   274   89
  79   275  123
  79   276  141
  79   277  141
  79   278  110
  79   279  152
  79   280  166
  79   281  161
  79   282  158
  79   283  152
  79   284  134
  79   285  126
  79   286  115
  79   287  137
  79   288  136
  79   289  118
  79   290  108
  79   291  111
  79   292   97
  79   293   95
  79   294   81
  79   549   94
  79   550  105
  79   551  106
  79   552   93
  79   553   80
  79   555   84
  79   556  106
  79   557  108
  79   558   86
  79   560   93
  79   561  100
  79   562   92
  79   563   84
  79   566   93
  79   567   87
  80   272   79
  80   273   97
  80   274  101
  80   276  112
  80   277  115
  80   278  129
  80   279  138
  80   280  159
  80   281  170
  80   282  169
  80   283  161
  80   284  144
  80   285  123
  80   286  112
  80   287  129
  80   288  128
  80   289  113
  80   290   81
  80   291  134
  80   292  139
  80   293  130
  80   294  102
  80   550   86
  80   551  103
  80   552   94
  80   556  104
  80   557  105
  80   558   82
  80   560   86
  80   561  101
  80   562   93
  80   563   84
  80   564   84
  80   565   96
  80   566  112
  80   567  114
  80   568  107
  80   569   97
  80   570   85
  80   667   79
  81   273  100
  81   274  109
  81   275  111
  81   276  104
  81   277  102
  81   278  106
  81   280  139
  81   281  160
  81   282  162
  81   283  151
  81   284  127
  81   285  119
  81   286  109
  81   287  120
  81   288  130
  81   289  120
  81   290  140
  81   291  154
  81   292  160
  81   293  154
  81   294  134
  81   295  110
  81   296   96
  81   557   95
  81   558   93
  81   560   96
  81   565  105
  81   566  119
  81   567  121
  81   568  109
  82   274  104
  82   275  111
  82   276  113
  82   277  112
  82   278  101
  82   280  116
  82   281  138
  82   282  136
  82   283  122
  82   284  118
  82   285  120
  82   286  132
  82   287  140
  82   288  153
  82   289  162
  82   290  167
  82   291  154
  82   292  160
  82   293  169
  82   294  153
  82   295  104
  82   296  119
  82   297  125
  82   298  105
  82   560   96
  82   566  111
  82   567  114
  82   571   95
  82   572   97
  82   573  104
  82   576   98
  82   577   96
  83   276  100
  83   277  101
  83   278   99
  83   281  113
  83   282  102
  83   284  113
  83   285  132
  83   286  139
  83   287  137
  83   288  153
  83   289  176
  83   290  181
  83   291  166
  83   292  169
  83   293  175
  83   294  163
  83   295  146
  83   296  149
  83   297  155
  83   298  148
  83   299  136
  83   300  120
  83   566   95
  83   567  101
  83   573  100
  83   574  104
  83   576  108
  83   577  112
  83   578  109
  83   583  102
  84   284  109
  84   285  120
  84   286  127
  84   287  122
  84   288  145
  84   289  176
  84   290  183
  84   291  181
  84   292  179
  84   293  168
  84   294  149
  84   295  158
  84   296  152
  84   297  167
  84   298  172
  84   299  166
  84   300  154
  84   301  137
  84   302  114
  84   308  101
  84   577  107
  84   578  106
  84   582  102
  84   583  110
  84   584  111
  84   585  105
  85   287  125
  85   288  149
  85   289  167
  85   290  170
  85   291  164
  85   292  170
  85   293  166
  85   294  153
  85   295  163
  85   296  136
  85   297  171
  85   298  179
  85   299  173
  85   300  164
  85   301  155
  85   302  137
  85   304  114
  85   305  126
  85   306  110
  85   307  106
  85   308  106
  85   584  109
  85   585  113
  85   586  107
  85   591  107
  85   592  107
  86   287  106
  86   288  128
  86   289  145
  86   290  143
  86   292  147
  86   293  162
  86   294  167
  86   295  170
  86   296  171
  86   297  172
  86   298  167
  86   299  160
  86   300  139
  86   301  158
  86   302  149
  86   303  136
  86   304  143
  86   305  147
  86   306  141
  86   307  132
  86   308  114
  86   310   96
  86   585  102
  86   586  104
  86   590  110
  86   591  111
  86   592  104
  86   593  107
  86   594  101
  86   595   95
  86   596   99
  86   597   93
  86   599   94
  86   600  102
  86   601  100
  86   602   95
  86   603  101
  86   604   97
  86   605   93
  87   289  111
  87   290  120
  87   291  117
  87   292  123
  87   293  140
  87   294  149
  87   295  159
  87   296  164
  87   297  159
  87   298  107
  87   299  147
  87   300  146
  87   301  160
  87   302  149
  87   303  125
  87   304  157
  87   305  152
  87   306  141
  87   307  144
  87   308  124
  87   310  106
  87   311  110
  87   312  107
  87   590  111
  87   591  104
  87   593  106
  87   594   98
  87   600  103
  87   601  109
  87   602  111
  87   603  111
  87   604  110
  87   605  105
  87   606  100
  87   607  101
  87   608   98
  87   613  105
  87   614  107
  88   293  107
  88   295  126
  88   296  134
  88   297  141
  88   298  138
  88   299  145
  88   300  157
  88   301  162
  88   302  159
  88   303  157
  88   304  163
  88   305  152
  88   306  126
  88   307  152
  88   308  144
  88   309  126
  88   310  110
  88   311  118
  88   312  140
  88   313  135
  88   314  120
  88   315  110
  88   316  102
  88   590  104
  88   591  101
  88   593  102
  88   594  100
  88   601   99
  88   602   98
  88   603   99
  88   604  101
  88   607  100
  88   608  107
  88   609  102
  88   612  106
  88   613  118
  88   614  118
  88   615  109
  88   616  103
  88   617  104
  88   618  106
  88   619  102
  89   293   99
  89   294   99
  89   297  112
  89   298  121
  89   299  132
  89   300  140
  89   301  145
  89   302  152
  89   303  157
  89   304  158
  89   305  154
  89   306  150
  89   307  153
  89   308  154
  89   309  150
  89   310  145
  89   311  150
  89   312  161
  89   313  161
  89   314  154
  89   315  140
  89   316  106
  89   317  118
  89   318  138
  89   319  141
  89   320  134
  89   321  122
  89   322  107
  89   323  106
  89   608  101
  89   609   97
  89   612  108
  89   613  112
  89   614  113
  89   616  101
  89   617  111
  89   618   98
  89   630  103
  89   631  106
  89   635  100
  89   642   99
  89   643  103
  89   645   99
  89   648  100
  89   649   96
  89   652   96
  89   653  105
  89   654  109
  89   655  100
  90   302  120
  90   303  129
  90   304  132
  90   305  134
  90   306  135
  90   307  135
  90   308  140
  90   309  147
  90   310  152
  90   311  157
  90   312  163
  90   313  167
  90   314  165
  90   315  155
  90   316  138
  90   317  143
  90   318  157
  90   319  160
  90   320  156
  90   321  142
  90   323  125
  90   324  135
  90   325  132
  90   326  119
  90   611  105
  90   630  111
  90   631  112
  90   653  118
  90   654  123
  90   655  120
  90   656  115
  90   657  109
  90   674  102
  90   675  107
  91   309  120
  91   310  130
  91   311  139
  91   312  141
  91   313  151
  91   314  157
  91   315  152
  91   316  146
  91   317  152
  91   318  157
  91   319  157
  91   320  158
  91   321  153
  91   322  135
  91   323  145
  91   324  154
  91   325  154
  91   326  144
  91   327  127
  91   329  112
  91   330  134
  91   331  142
  91   332  140
  91   333  130
  91   334  118
  91   335  114
  91   336  117
  91   337  119
  91   338  114
  91   339  108
  91   340  115
  91   341  118
  91   343  116
  91   344  122
  91   345  105
  91   654  119
  91   674  109
  91   675  115
  91   676  113
  91   677  107
  92   313  116
  92   314  129
  92   315  126
  92   316  108
  92   317  138
  92   318  140
  92   319  119
  92   320  139
  92   321  153
  92   322  152
  92   323  151
  92   324  154
  92   325  155
  92   326  151
  92   327  141
  92   328  132
  92   329  135
  92   330  146
  92   331  152
  92   332  152
  92   333  147
  92   334  132
  92   335  117
  92   336  134
  92   337  141
  92   338  136
  92   339  131
  92   340  136
  92   341  144
  92   342  149
  92   343  155
  92   344  158
  92   345  153
  92   346  146
  92   347  137
  92   348  124
  92   352  106
  92   353  107
  92   357  108
  92   364  102
  92   650   99
  92   675  105
  92   676  102
  93   317  121
  93   318  113
  93   320  116
  93   321  137
  93   322  140
  93   323  129
  93   324  128
  93   325  135
  93   326  135
  93   327  130
  93   328  117
  93   329  128
  93   330  140
  93   331  140
  93   332  141
  93   333  145
  93   334  135
  93   335  111
  93   336  140
  93   337  145
  93   338  135
  93   339  113
  93   340  132
  93   341  147
  93   342  157
  93   343  166
  93   344  173
  93   345  173
  93   346  169
  93   347  159
  93   348  140
  93   351  118
  93   352  137
  93   353  142
  93   354  135
  93   355  133
  93   356  138
  93   357  138
  93   358  130
  93   359  116
  93   360  107
  93   361  111
  93   362  117
  93   363  134
  93   364  141
  93   365  139
  93   366  138
  93   367  140
  93   368  137
  93   369  130
  93   370  108
  94   330  113
  94   333  126
  94   334  131
  94   335  133
  94   336  137
  94   337  134
  94   338  119
  94   340  116
  94   341  132
  94   342  134
  94   343  155
  94   344  167
  94   345  170
  94   346  169
  94   347  161
  94   348  142
  94   349  123
  94   350  126
  94   351  141
  94   352  153
  94   353  158
  94   354  156
  94   355  152
  94   356  150
  94   357  149
  94   358  143
  94   359  120
  94   361  131
  94   362  144
  94   363  153
  94   364  160
  94   365  162
  94   366  164
  94   367  163
  94   368  160
  94   369  153
  94   370  140
  94   371  130
  94   372  125
  94   375  126
  94   376  130
  94   377  132
  94   378  131
  94   379  123
  94   380  115
  94   381  113
  94   394  111
  94   395  116
  94   404  115
  95   335  117
  95   336  116
  95   337  110
  95   341  108
  95   343  131
  95   344  140
  95   345  142
  95   346  150
  95   347  145
  95   348  126
  95   350  123
  95   351  140
  95   352  149
  95   353  153
  95   354  151
  95   355  142
  95   356  134
  95   357  139
  95   358  140
  95   359  129
  95   360  122
  95   361  135
  95   362  145
  95   363  150
  95   364  154
  95   365  161
  95   366  163
  95   367  163
  95   368  160
  95   369  153
  95   370  145
  95   371  141
  95   372  137
  95   373  127
  95   374  124
  95   375  129
  95   376  137
  95   377  143
  95   378  144
  95   379  140
  95   380  137
  95   381  132
  95   382  123
  95   383  118
  95   384  119
  95   385  113
  95   386  109
  95   387  114
  95   388  112
  95   389  107
  95   390  116
  95   391  124
  95   392  123
  95   393  124
  95   394  128
  95   395  128
  95   396  115
  95   400  113
  95   401  126
  95   402  133
  95   403  139
  95   404  141
  95   405  139
  95   406  138
  95   407  138
  95   408  134
  95   409  132
  95   410  131
  95   411  131
  95   412  127
  95   413  120
  95   414  119
  95   415  112
  95   417  106
  95   420  106
  96   346  113
  96   347  111
  96   348  104
  96   350  104
  96   351  119
  96   352  123
  96   353  125
  96   354  126
  96   355  107
  96   357  111
  96   358  119
  96   359  118
  96   360  114
  96   361  116
  96   362  126
  96   363  118
  96   364  120
  96   365  136
  96   366  137
  96   367  136
  96   368  138
  96   369  129
  96   370  119
  96   371  126
  96   372  129
  96   373  127
  96   374  117
  96   376  118
  96   377  133
  96   378  135
  96   379  131
  96   380  132
  96   381  131
  96   382  125
  96   383  121
  96   384  123
  96   385  118
  96   386  111
  96   387  113
  96   388  110
  96   390  118
  96   391  121
  96   392  119
  96   393  126
  96   394  124
  96   395  119
  96   396  117
  96   400  116
  96   401  130
  96   402  140
  96   403  145
  96   404  146
  96   405  144
  96   406  143
  96   407  143
  96   408  144
  96   409  145
  96   410  146
  96   411  144
  96   412  137
  96   413  127
  96   414  124
  96   415  119
  96   416  112
  96   417  114
  96   418  111
  96   419  103
  96   420  105
  96   421  107
  96   428  103
  96   429  103
  96   430  103
  96   431  112
  96   432  116
  96   433  109
  96   434  104
  96   435  105
  96   436  107
  96   437  111
  96   438  105
  97   362   96
  97   365   98
  97   372   97
  97   373  106
  97   377  109
  97   378  104
  97   380  102
  97   381  110
  97   382  100
  97   384  108
  97   385  102
  97   387   96
  97   388   99
  97   390  111
  97   391  105
  97   393  111
  97   394  100
  97   396  108
  97   397  106
  97   400   96
  97   401  111
  97   402  127
  97   403  129
  97   404  125
  97   405  125
  97   406  119
  97   407  124
  97   408  126
  97   409  132
  97   410  137
  97   411  138
  97   412  126
  97   413   96
  97   414  108
  97   415  105
  97   416   98
  97   417  106
  97   418  105
  97   421   97
  97   426   98
  97   430   97
  97   431  114
  97   432  118
  97   433  112
  97   434  104
  97   437  106
  97   438  106
  97   439   96
  97   451   98
  97   452  102
  97   453   97
  97   456   97
  97   457  103
  97   458  100
  97   461   98
  98   363   82
  98   365   84
  98   382   85
  98   388   91
  98   389   96
  98   390  101
  98   391  102
  98   392   98
  98   393   91
  98   396   94
  98   397   94
  98   398   90
  98   399   87
  98   402   95
  98   403   92
  98   405   85
  98   407   89
  98   409   98
  98   410   99
  98   411  113
  98   412  108
  98   418   84
  98   426   83
  98   431  102
  98   432  101
  98   433   88
  98   437   89
  98   438   88
  98   439   83
  98   451   84
  98   452   83
  98   456   91
  98   457   87
  98   458   85
  98   462   83
  98   463   83
  98   477   83
  98   482   88
  98   510   86
  98   511   93
  99   382   81
  99   391   90
  99   392   82
  99   408   80
  99   456   80
  99   512   84
  99   520   81
  99   672   80
  99   679   86
  99   688   79
  99   693   79
 100   644   82
 100   661   87
 100   663   83
 100   667   84
 100   668   83
 100   672   82
 100   673   82
 100   676   81
 100   677   84
 100   678   86
 100   679   84
 100   685   83
 100   686   85
 100   687   83
 100   688   82
 100   689   81
 100   692   81
 100   693   85
 100   694   82
 100   697   82
 100   699   83
 100   703   84
 100   704   82
 101   367   72
 101   368   76
 101   644   70
 101   652   74
 101   660   74
 101   662   77
 101   663   77
 101   667   76
 101   668   73
 101   669   70
 101   676   72
 101   677   75
 101   678   73
 101   683   76
 101   685   71
 101   686   75
 101   691   71
 101   693   72
 101   697   71
 101   699   75
 101   700   69
 101   703   81
 101   704   78
 101   708   72
 102   153   65
 102   367   72
 102   435   74
 102   436   70
 102   596   70
 102   631   65
 102   652   66
 102   753   65
 103   435   73
 104   175   67
 104   208   70
 104   279   67
 104   535   71
 105   193   69
 105   377   67
 105   411   73
 105   412   73
 105   792   68
 105   805   72
 106   376   70
 106   412   76
 106   413   71
 106   678   68
 106   679   67
 106   791   68
 106   792   69
 106   804   72
 106   805   80
 106   806   78
 106   807   73
 106   808   67
 107   122   60
 107   376   60
 107   386   58
 107   412   64
 107   413   64
 107   678   60
 107   679   65
 107   688   61
 107   716   58
 107   791   58
 107   804   68
 107   805   70
 107   806   69
 107   807   61
 108   496   58
 108   533   57
 108   612   64
 108   613   57
 108   678   59
 108   679   62
 108   721   55
 109   211   62
 109   212   63
 109   495   65
 109   612   65
 109   679   63
 110   120   61
 110   212   60
 111    79   54
 111   120   55
 111   121   66
 111   672   55
 112   121   62
 112   122   59
 112   312   57
 112   417   56
 113   122   57
 113   315   56
 113   549   55
 114   122   51
 114   220   53
 114   531   52
 114   629   52
 115    86   53
 115    97   55
 116    85   59
 116    86   64
 116   117   58
 116   118   59
 116   540   57
 117    86   57
 117   118   61
 117   686   57
 118   118   59
 119   117   57
 119   118   58
 119   152   55
 120   145   51
 120   264   51
 120   525   54
 120   765   55
 121   760   61
 122   753   69
 122   760   66
 123   760   65
 126   835   91
 127   111   78
 127   829   81
 127   830   87
 127   831   88
 127   835   92
 127   836   96
 128   111   66
 128   594   69
 128   831   68
 128   836   76
 129   169   58
 129   202   59
 129   361   59
 129   572   60
 129   729   60
 130   176   61
 130   202   61
 130   354   61
 130   362   60
 132   106   55
 132   107   56
 132   301   59
 133    74   56
 133    75   55
 133   190   55
 133   450   54
 134   715   67
 135   643   69
 135   680   69
 135   715   72
 135   735   69
 136   223   65
 136   628   65
 136   735   66
 136   736   69
 137   315   64
 137   461   65
 137   562   66
 138   430   64
 138   561   66
 138   562   64
 139   430   63
 139   560   62
 139   744   63
 140    94   70
 141   567   68
 141   662   68
 142   182   70
 142   566   73
 142   567   74
 142   607   70
 142   662   72
 142   663   68
 142   730   70
 143    74   71
 143   276   72
 143   470   68
 143   566   72
 143   606   69
 143   607   72
 143   608   70
 143   662   68
 143   663   68
 143   713   69
 144    74   68
 144   276   65
 144   713   66
 144   714   63
 145   216   57
 145   463   63
 145   714   58
 146   446   59
 146   447   66
 146   463   62
 148   221   68
 150   564   71
 150   687   71
 154   280   62
 154   582   62
 157   150   68
 157   209   63
 157   374   63
 157   375   63
 158   150   70
 158   375   69
 158   376   65
 158   612   70
 159   611   69
 159   612   71
 159   672   66
 160   671   62
 162   111   58
 163   111   60
 163   112   59
 163   700   62
 164   117   66
 164   194   67
 165   600   75
 165   751   75
 166   327   83
 166   600   84
 166   750   83
 166   791   86
 166   792   86
 167   600   87
 167   699   86
 167   750   88
 168   559   87
 168   838   81
 169   559   89
 169   560   88
 169   561   86
 169   562   81
 169   568   80
 170   372   69
 170   520   72
 170   559   73
 170   560   78
 170   561   70
 170   562   69
 170   567   74
 170   570   74
 170   605   73
 170   787   72
 171   748   79
 172   408   89
 172   409   91
 173   215   88
 173   409   93
 174   215   81
 174   409   77
 174   445   77
 176   528   81
 179   689   77
 179   690   79
 179   698   78
 180   237   76
 180   690   78
 180   691   78
 180   701   79
 180   749   84
 180   759   76
 181   701   65
 181   749   65
 182   368   60
 183   322   67
 185   401   61
 185   437   60
 186    83   59
 186   360   61
 186   622   58
 186   693   61
 186   694   64
 187   694   66
 189   682   62
 192   141   58
 192   142   59
 192   415   58
 192   438   60
 192   454   58
 193   415   61
 194   109   57
 194   384   63
 194   385   56
 194   412   56
 195   269   54
 196   452   57
 196   453   58
 197   484   58
 197   728   56
 198    98   60
 198    99   58
 198   150   58
 198   321   57
 198   356   57
 198   372   62
 198   409   58
 198   418   56
 198   483   56
 199    98   60
 199    99   61
 199   321   59
 199   323   59
 200   704   57
 201   274   57
 201   275   62
 201   284   55
 202   119   60
 202   193   58
 202   226   57
 202   274   59
 202   275   59
 202   284   58
 202   374   60
 202   540   59
 203   120   60
 203   139   59
 203   334   61
 203   374   59
 203   375   59
 204    96   58
 205   323   55
 205   423   57
 205   544   58
 205   553   57
 205   634   57
 206   323   58
 206   552   53
 206   553   55
 206   721   53
 207    76   49
 207   454   53
 207   499   51
 208   454   59
 208   493   53
 208   613   53
 208   614   57
 209   514   64
 209   518   59
 209   672   56
 210   330   55
 210   467   60
 210   468   57
 210   514   57
 210   531   58
 211   331   62
 211   371   59
 211   467   61
 211   519   61
 212   420   63
 213   407   53
 213   419   52
 213   420   59
 213   546   54
 214   491   53
 214   545   60
 214   546   59
 215   545   57
 216   184   56
 216   427   57
 216   659   58
 216   780   59
 217   638   62
 218   306   68
 218   835   71
 219   305   73
 219   498   74
 219   499   77
 223   838   87
 224   837   95
 224   838   91
 226   317  101
 229   485  113
 230   694  115
 231   550  113
 231   838  116
 232   214  117
 232   683  116
 232   837  122
 232   838  122
 232   840  116
 233   838  117
 234   514  116
 235   513  123
 235   514  127
 235   515  122
 236   514  120
 236   515  120
 237   737  104
 238    84   84
 238   586   82
 238   749   82
 241   108   66
 241   283   61
 241   346   61
 243   202   76
 243   203   73
 243   778   73
 244   192   74
 244   201   77
 244   202   79
 244   778   72
 245   192   69
 245   201   73
 246   457   65
 246   550   65
 247   449   56
 247   520   58
 247   551   59
 248   152   65
 248   211   60
 249   151   65
 249   152   70
 249   153   70
 250   152   56
 250   153   59
 251   614   62
 252   614   76
 252   660   72
 252   707   73
 253   599   69
 253   613   70
 253   614   72
 253   660   68
 253   706   71
 254   291   60
 254   481   61
 254   581   65
 254   595   66
 254   599   63
 255   336   69
 255   581   69
 255   595   69
 257   514   73
 258   539   71
 258   579   72
 258   580   74
 259   106   63
 259   109   63
 259   110   67
 259   494   61
 260    81   53
 260   503   54
 260   504   52
 261    80   61
 261    81   63
 262    81   59
 263   455   56
 263   495   53
 263   557   53
 263   558   56
 263   610   52
 264   572   61
 264   610   58
 265   286   64
 265   563   64
 266   286   56
 266   563   57
 267   222   56
 267   274   55
 268   222   61
 268   429   56
 269    76   50
 269   390   52
 269   664   50
 270   224   54
 270   295   50
 270   549   51
 270   550   50
 272   490   49
 272   502   51
 273   238   55
 273   256   52
 274   190   52
 274   237   56
 274   238   61
 274   494   52
 274   556   61
 274   682   53
 275   238   52
 275   239   52
 275   306   51
 275   337   52
 275   428   52
 275   435   53
 275   436   52
 275   502   52
 275   630   51
 276   280   53
 276   306   54
 276   437   53
 276   539   54
 277   280   53
 277   538   55
 277   539   55
 278   162   53
 278   430   52
 279   435   56
 279   681   56
 280    99   60
 280   656   60
 280   703   58
 281    99   54
 281   413   52
 281   656   53
 281   668   53
 281   669   54
 282   149   50
 282   413   53
 282   573   52
 283   255   53
 283   259   54
 283   260   55
 283   357   55
 283   572   57
 283   622   53
 284   117   51
 284   357   51
 284   447   55
 284   480   53
 284   572   51
 285   116   56
 285   117   58
 285   292   53
 285   384   54
 285   447   60
 287   449   78
 287   838   92
 288   450   82
 288   831   93
 289   336   81
 289   831   81
 289   834   93
 289   835   87
 290   402   77
 290   403   73
 290   832   74
 290   833   83
 290   834   89
 290   835   79
 291   114   73
 291   583   76
 296   547   82
 297   850   98
 302   435   82
 302   439   78
 302   441   76
 302   445   78
 302   755   76
 302   759   76
 303   424   93
 303   425   94
 303   432   98
 303   433   94
 303   439   94
 303   440   94
 303   441   93
 303   445   93
 303   450   92
 303   455   92
 303   752   93
 303   758   93
 303   759   94
 303   762   93
 303   770   99
 303   771   97
 304   431  106
 304   770  109
 305   233  106
 305   234  108
 307   516   75
 307   523   76
 307   755   80
 307   797   79
 307   803   79
 307   804   79
 307   806   77
 307   807   76
 307   825   77
 307   829   75
 307   831   76
 307   832   80
 308   747   67
 308   748   72
 308   749   69
 308   758   71
 308   759   69
 308   788   69
 308   789   74
 308   790   73
 308   791   71
 308   792   74
 308   793   78
 308   794   76
 308   795   73
 308   796   73
 308   797   71
 308   798   68
 308   799   69
 308   800   70
 308   801   67
 308   803   69
 308   804   72
 308   805   70
 308   806   68
 308   807   70
 308   808   70
 308   811   68
 308   812   71
 308   813   70
 308   814   68
 308   822   68
 308   823   67
 308   824   67
 308   825   70
 308   826   71
 308   827   69
 308   828   69
 308   829   71
 308   830   70
 308   831   70
 308   832   71
