  f  zad   ion[i,j]
  28   248  129
  28   249  126
  28   250  116
  28   251  100
  28   295   83
  28   296   82
  28   302   83
  28   324   81
  28   325   82
  28   332   81
  28   339   85
  28   340   89
  28   341   86
  28   342   82
  28   477   84
  28   478   90
  28   479   92
  28   480   85
  28   482   86
  28   483  102
  28   484  107
  28   485   99
  28   486   86
  28   487   97
  28   488   87
  28   489   82
  29   240   94
  29   241   94
  29   242   89
  29   243  116
  29   244  123
  29   245   96
  29   246  111
  29   247  101
  29   248  114
  29   249  130
  29   250  131
  29   251  126
  29   252  114
  29   253   95
  29   295   83
  29   301   80
  29   302   82
  29   303   81
  29   309   81
  29   310   81
  29   318   79
  29   322   80
  29   331   80
  29   332   80
  29   340   87
  29   341   86
  29   342   81
  29   482   81
  29   483   98
  29   484  108
  29   485  108
  29   486  104
  29   487  105
  29   488  103
  29   489   93
  30   242   81
  30   243   99
  30   244  117
  30   245  119
  30   246  103
  30   247   81
  30   248  111
  30   249  118
  30   250  119
  30   251  136
  30   252  130
  30   253  107
  30   484   91
  30   485   96
  30   486   86
  30   487   91
  30   488   99
  30   489   91
  30   496   84
  30   497   89
  30   498   81
  30   499   75
  30   711   87
  30   712   93
  30   713   78
  30   719   73
  30   720   76
  30   727   74
  30   728   74
  31   169   76
  31   244  102
  31   245  115
  31   246  110
  31   247  104
  31   248  125
  31   249  121
  31   250  120
  31   251  134
  31   252  133
  31   253  113
  31   489   82
  31   495   84
  31   496  102
  31   497   94
  31   499   94
  31   500   82
  31   711   80
  31   712  100
  31   713  101
  31   714   88
  31   715   84
  31   720   78
  31   739   76
  31   742   81
  32   244   80
  32   245   98
  32   246  110
  32   247  120
  32   248  129
  32   249  132
  32   250  126
  32   251  109
  32   252  128
  32   253  116
  32   255  106
  32   256   99
  32   495   94
  32   496  111
  32   497  110
  32   498  102
  32   499  111
  32   500  101
  32   503   86
  32   504   93
  32   712   96
  32   713  105
  32   714  105
  32   715   99
  32   719   80
  32   724   81
  32   738   81
  32   739   90
  32   740   90
  32   741   92
  32   742   88
  33   246   84
  33   247  107
  33   248  117
  33   249  121
  33   250  120
  33   251  107
  33   252  126
  33   253  124
  33   254  114
  33   255  114
  33   257   84
  33   495   87
  33   496  110
  33   497  118
  33   498  120
  33   499  120
  33   500  109
  33   502   89
  33   503  106
  33   504  107
  33   505   95
  33   506   77
  33   712   80
  33   713   92
  33   714   96
  33   715   99
  33   716   86
  33   717   77
  33   718   84
  33   719   87
  33   720   75
  33   723   85
  33   724   92
  33   739   88
  33   740   93
  33   741   92
  33   742   86
  34   247   84
  34   250  107
  34   251  114
  34   252  125
  34   253  121
  34   255  123
  34   256  115
  34   257  106
  34   496   97
  34   497  106
  34   498  109
  34   499  114
  34   500  111
  34   501   99
  34   502  106
  34   503  113
  34   504  104
  34   510   96
  34   680   78
  34   715   87
  34   721   81
  34   722   96
  34   723  105
  34   724  102
  34   725   78
  34   739   81
  34   750   82
  34   751   82
  34   754   82
  34   755   87
  34   756   79
