  0.0000 52.8840 103.2590 0.0000 0.0000  1.00
 2.595     3.152  7.098  214.71  233.70  263.31  210.22
2     81      0    307
1.0000 103.1306
1.0200 103.2648
1.0401 103.4023
1.0601 103.5432
1.0801 103.6875
1.1002 103.8354
1.1202 103.9867
1.1402 104.1417
1.1602 104.3003
1.1803 104.4626
1.2003 104.6288
1.2203 104.7988
1.2404 104.9727
1.2604 105.1506
1.2804 105.3326
1.3005 105.5187
1.3205 105.7091
1.3405 105.9039
1.3605 106.1030
1.3806 106.3067
1.4006 106.5151
1.4206 106.7282
1.4407 106.9461
1.4607 107.1690
1.4807 107.3970
1.5008 107.6303
1.5208 107.8689
1.5408 108.1131
1.5608 108.3629
1.5809 108.6186
1.6009 108.8803
1.6209 109.1482
1.6410 109.4225
1.6610 109.7035
1.6810 109.9912
1.7011 110.2861
1.7211 110.5882
1.7411 110.8980
1.7611 111.2156
1.7812 111.5414
1.8012 111.8758
1.8212 112.2190
1.8413 112.5714
1.8613 112.9335
1.8813 113.3057
1.9014 113.6885
1.9214 114.0824
1.9414 114.4880
1.9615 114.9058
1.9815 115.3366
2.0015 115.7811
2.0215 116.2401
2.0416 116.7145
2.0616 117.2053
2.0816 117.7137
2.1017 118.2407
2.1217 118.7879
2.1417 119.3567
2.1618 119.9489
2.1818 120.5666
2.2018 121.2120
2.2218 121.8877
2.2419 122.5969
2.2619 123.3430
2.2819 124.1305
2.3020 124.9642
2.3220 125.8504
2.3420 126.7966
2.3621 127.8120
2.3821 128.9084
2.4021 130.1011
2.4221 131.4102
2.4422 132.8633
2.4622 134.4992
2.4822 136.3758
2.5023 138.5848
2.5223 141.2841
2.5423 144.7850
2.5624 149.8507
2.5824 159.5351
2.5964 179.5351
2.6225 215.4660
2.6425 215.3020
2.6625 215.1580
2.6825 215.0340
2.7026 214.9299
2.7226 214.8459
2.7426 214.7819
2.7627 214.7379
2.7827 214.7138
2.8027 214.7091
2.8228 214.7123
2.8428 214.7195
2.8628 214.7307
2.8828 214.7459
2.9029 214.7651
2.9229 214.7882
2.9429 214.8154
2.9630 214.8466
2.9830 214.8818
3.0030 214.9210
3.0231 214.9642
3.0431 215.0114
3.0631 215.0626
3.0831 215.1178
3.1032 215.1770
3.1232 215.2401
3.1432 215.3073
3.1633 215.3785
3.1833 215.4537
3.2033 215.5329
3.2234 215.6161
3.2434 215.7032
3.2634 215.7944
3.2834 215.8896
3.3035 215.9888
3.3235 216.0920
3.3435 216.1992
3.3636 216.3103
3.3836 216.4255
3.4036 216.5447
3.4237 216.6679
3.4437 216.7951
3.4637 216.9262
3.4838 217.0614
3.5038 217.2006
3.5238 217.3438
3.5438 217.4910
3.5639 217.6421
3.5839 217.7973
3.6039 217.9565
3.6240 218.1197
3.6440 218.2868
3.6640 218.4580
3.6841 218.6332
3.7041 218.8123
3.7241 218.9955
3.7441 219.1827
3.7642 219.3739
3.7842 219.5690
3.8042 219.7682
3.8243 219.9714
3.8443 220.1785
3.8643 220.3897
3.8844 220.6049
3.9044 220.8241
3.9244 221.0472
3.9444 221.2744
3.9645 221.5056
3.9845 221.7407
4.0045 221.9799
4.0246 222.2231
4.0446 222.4702
4.0646 222.7214
4.0847 222.9766
4.1047 223.2357
4.1247 223.4989
4.1448 223.7661
4.1648 224.0372
4.1848 224.3124
4.2048 224.5916
4.2249 224.8747
4.2449 225.1619
4.2649 225.4530
4.2850 225.7482
4.3050 226.0474
4.3250 226.3505
4.3451 226.6577
4.3651 226.9689
4.3851 227.2840
4.4051 227.6032
4.4252 227.9263
4.4452 228.2535
4.4652 228.5847
4.4853 228.9198
4.5053 229.2590
4.5253 229.6021
4.5454 229.9493
4.5654 230.3004
4.5854 230.6556
4.6055 231.0148
4.6255 231.3779
4.6455 231.7451
4.6655 232.1162
4.6856 232.4914
4.7056 232.8705
4.7256 233.2537
4.7457 233.6408
4.7657 234.0320
4.7857 234.4271
4.8058 234.8263
4.8258 235.2294
4.8458 235.6366
4.8659 236.0478
4.8859 236.4629
4.9059 236.8820
4.9259 237.3052
4.9460 237.7324
4.9660 238.1635
4.9860 238.5986
5.0061 239.0378
5.0261 239.4810
5.0461 239.9281
5.0662 240.3792
5.0862 240.8344
5.1062 241.2935
5.1262 241.7567
5.1463 242.2238
5.1663 242.6950
5.1863 243.1701
5.2064 243.6493
5.2264 244.1324
5.2464 244.6196
5.2665 245.1107
5.2865 245.6059
5.3065 246.1050
5.3266 246.6081
5.3466 247.1153
5.3666 247.6264
5.3866 248.1416
5.4067 248.6607
5.4267 249.1838
5.4467 249.7110
5.4668 250.2421
5.4868 250.7773
5.5068 251.3164
5.5269 251.8595
5.5469 252.4067
5.5669 252.9578
5.5869 253.5129
5.6070 254.0721
5.6270 254.6352
5.6470 255.2024
5.6671 255.7735
5.6871 256.3486
5.7071 256.9278
5.7272 257.5109
5.7472 258.0510
5.7672 258.5911
5.7873 259.1313
5.8073 259.6714
5.8273 260.2115
5.8473 260.7516
5.8674 261.2917
5.8874 261.8318
5.9074 262.3720
5.9275 262.9121
5.9475 263.4522
5.9675 263.9923
5.9876 264.5324
6.0076 265.0726
6.0276 265.6127
6.0476 266.1528
6.0677 266.6929
6.0877 267.2331
6.1077 267.7732
6.1278 268.3133
6.1478 269.3212
6.1678 270.4215
6.1879 271.6143
6.2079 272.8997
6.2279 274.2775
6.2480 275.7478
6.2680 277.3106
6.2880 278.9659
6.3080 280.7136
6.3281 282.5539
6.3481 284.4866
6.3681 286.5118
6.3882 288.6295
6.4082 290.8397
6.4282 293.1424
6.4483 295.5376
