01-02-2022  23-55-00
 fof1O=   0.000 fof2O=   3.123 m=   47  k= 121 fper=   2.442 fmin=   1.220
   i     ff_a[m]   hhmin[m]      ff_a      hhmin       hho           ho       amin_f2   k_tf   dy
  84      2.422    291.504      3.163    306.152    306.152     0.000    156.00   1         0.00
  85      2.422    291.504      3.183    307.617    307.617     0.000    151.00   1         0.00
  86      2.422    291.504      3.203    307.617    307.617     0.000    163.00   1         0.00
  87      2.422    291.504      3.223    310.547    310.547     0.000    165.00   1         0.00
  88      2.422    291.504      3.243    310.547    310.547     0.000    164.00   1         0.00
  89      2.422    291.504      3.263    312.012    312.012     0.000    155.00   1         0.00
  90      2.422    291.504      3.284    312.012    312.012     0.000    147.00   1         0.00
  91      2.422    291.504      3.304    316.406    316.406     0.000    146.00   1         0.00
  92      2.422    291.504      3.324    317.871    317.871     0.000    165.00   1         0.00
  93      2.422    291.504      3.344    317.871    317.871     0.000    170.00   1         0.00
  94      2.422    291.504      3.364    319.336    319.336     0.000    165.00   1         0.00
  95      2.422    291.504      3.384    322.265    322.265     0.000    167.00   1         0.00
  96      2.422    291.504      3.404    323.730    323.730     0.000    170.00   1         0.00
  97      2.422    291.504      3.424    326.660    326.660     0.000    167.00   1         0.00
  98      2.422    291.504      3.444    328.125    328.125     0.000    161.00   1         0.00
  99      2.422    291.504      3.464    328.125    328.125     0.000    167.00   1         0.00
 100      2.422    291.504      3.484    331.055    331.055     0.000    170.00   1         0.00
 101      2.422    291.504      3.504    336.914    336.914     0.000    176.00   1         0.00
 102      2.422    291.504      3.524    336.914    336.914     0.000    164.00   1         0.00
 103      2.422    291.504      3.544    338.379    338.379     0.000    161.00   1         0.00
 104      2.422    291.504      3.564    342.773    348.633   348.633    159.00   2         5.86
 105      2.422    291.504      3.584    350.097    350.097     0.000    159.00   1         0.00
 106      2.422    291.504      3.604    350.097    350.097     0.000    164.00   1         0.00
 107      2.422    291.504      3.624    351.562    351.562     0.000    147.00   1         0.00
 108      2.422    291.504      3.644    351.562    367.676   367.676    151.00   3        16.11
 109      2.422    291.504      3.664    358.887    367.676   367.676    135.00   2         8.79
 110      2.422    291.504      3.684    358.887    398.437   398.437    161.00   4        39.55
 111      2.422    291.504      3.704    360.351    376.465   376.465    182.00   2        16.11
 112      2.422    291.504      3.724    377.929    386.719   386.719    172.00   2         8.79
 113      2.422    291.504      3.744    379.394    404.297   404.297    174.00   3        24.90
 114      2.422    291.504      3.764    386.719    405.762   405.762    162.00   2        19.04
 115      2.422    291.504      3.784    404.297    433.594   433.594    168.00   3        29.30
 116      2.422    291.504      3.804    404.297    458.496   458.496    164.00   6        54.20
 117      2.422    291.504      3.824    433.594    458.496   458.496    141.00   3        24.90
 118      2.422    291.504      3.844    458.496    458.496     0.000    148.00   1         0.00
 119      2.422    291.504      3.904    448.242    458.496   458.496    141.00   2        10.25
 120      2.422    291.504      3.924    435.058    458.496   458.496    151.00   3        23.44
 121      2.422    291.504      3.945    443.847    457.031   457.031    141.00   2        13.18
