 82  278      3.1225   338.13477      101
 82  283      3.1225   344.23828      122
 82  293      3.1225   356.44531      160
 83  293      3.1425   356.44531      163
 84  292      3.1625   355.22461      168
 85  294      3.1825   357.66602      163
 85  299      3.1825   363.76953      164
 86  297      3.2026   361.32813      164
 87  298      3.2226   362.54883      147
 87  302      3.2226   367.43164      149
 88  295      3.2426   358.88672      126
 88  304      3.2426   369.87305      152
 89  306      3.2627   372.31445      150
 89  314      3.2627   382.08008      154
 90  314      3.2827   382.08008      155
 91  315      3.3027   383.30078      146
 91  320      3.3027   389.40430      153
 92  323      3.3228   393.06641      145
 93  323      3.3428   393.06641      129
 93  335      3.3428   407.71484      131
 93  346      3.3428   421.14258      161
 93  354      3.3428   430.90820      135
 93  367      3.3428   446.77734      139
 94  337      3.3628   410.15625      131
 94  346      3.3628   421.14258      155
 95  348      3.3829   423.58398      123
 95  354      3.3829   430.90820      142
 95  368      3.3829   447.99805      153
 95  395      3.3829   480.95703      117
 96  366      3.4029   445.55664      136
 96  373      3.4029   454.10156      124
 96  380      3.4029   462.64648      131
 96  406      3.4029   494.38477      138
 97  383      3.4229   466.30859      100
 97  393      3.4229   478.51563      105
 97  406      3.4229   494.38477      124
 97  411      3.4229   500.48828      127
 97  433      3.4229   527.34375      104
 98  383      3.4429   466.30859       81
 98  392      3.4429   477.29492       98
 98  405      3.4429   493.16406       85
 98  412      3.4
