01-02-2022  00-02-00
   7.8696           0   319
   7.8897           0   320
   7.9097           0   321
   7.9297           0   322
   7.9498           0   323
   7.9698           0   324
   7.9898           0   325
   8.0099           0   326
   8.0299           0   327
   8.0499           0   328
   8.0700           0   329
   8.0900           0   330
   8.1100           0   331
   8.1300           0   332
   8.1501           0   333
   8.1701           0   334
   8.1901           0   335
   8.2102           0   336
   8.2302           0   337
   8.2502           0   338
   8.2703           0   339
   8.2903           0   340
   8.3103           0   341
   8.3303           0   342
   8.3504           0   343
   8.3704           0   344
   8.3904           0   345
   8.4105           0   346
   8.4305           0   347
   8.4505           0   348
   8.4706           0   349
   8.4906           0   350
   8.5106           0   351
   8.5306           0   352
   8.5507           0   353
   8.5707           0   354
   8.5907           0   355
   8.6108           0   356
   8.6308           0   357
   8.6508           0   358
   8.6709           0   359
   8.6909           0   360
   8.7109           0   361
   8.7310           0   362
   8.7510           0   363
   8.7710           0   364
   8.7910           0   365
   8.8111           0   366
   8.8311           0   367
   8.8511           0   368
   8.8712           0   369
   8.8912           0   370
   8.9112           0   371
   8.9313           0   372
   8.9513           0   373
   8.9713           0   374
   8.9913           0   375
   9.0114           0   376
   9.0314           0   377
   9.0514           0   378
   9.0715           0   379
   9.0915           0   380
   9.1115           0   381
   9.1316           0   382
   9.1516           0   383
   9.1716           0   384
   9.1917           0   385
   9.2117           0   386
   9.2317           0   387
   9.2517           0   388
   9.2718           0   389
   9.2918           0   390
   9.3118           0   391
   9.3319           0   392
   9.3519           0   393
   9.3719           0   394
   9.3920           0   395
   9.4120           0   396
   9.4320           0   397
   9.4520           0   398
   9.4721           0   399
   9.4921           0   400
   9.5121           0   401
   9.5322           0   402
   9.5522           0   403
   9.5722           0   404
   9.5923           0   405
   9.6123           0   406
   9.6323           0   407
   9.6523           0   408
   9.6724           0   409
   9.6924           0   410
   9.7124           0   411
   9.7325           0   412
   9.7525           0   413
   9.7725           0   414
   9.7926           0   415
   9.8126           0   416
   9.8326           0   417
   9.8527           0   418
   9.8727           0   419
   9.8927           0   420
   9.9127           0   421
   9.9328           0   422
   9.9528           0   423
   9.9728           0   424
   9.9929           0   425
  10.0129           0   426
  10.0329           0   427
  10.0530           0   428
  10.0730           0   429
  10.0930           0   430
  10.1130           0   431
  10.1331           0   432
  10.1531           0   433
  10.1731           0   434
  10.1932           0   435
  10.2132           0   436
  10.2332           0   437
  10.2533           0   438
  10.2733           0   439
  10.2933           0   440
  10.3133           0   441
  10.3334           0   442
  10.3534           0   443
  10.3734           0   444
  10.3935           0   445
  10.4135           0   446
  10.4335           0   447
  10.4536           0   448
  10.4736           0   449
  10.4936           0   450
  10.5137           0   451
  10.5337           0   452
  10.5537           0   453
  10.5737           0   454
  10.5938           0   455
  10.6138           0   456
  10.6338           0   457
  10.6539           0   458
  10.6739           0   459
  10.6939           0   460
  10.7140           0   461
  10.7340           0   462
  10.7540           0   463
  10.7740           0   464
  10.7941           0   465
  10.8141           0   466
  10.8341           0   467
  10.8542           0   468
  10.8742           0   469
  10.8942           0   470
  10.9143           0   471
  10.9343           0   472
  10.9543           0   473
  10.9744           0   474
  10.9944           0   475
  11.0144           0   476
  11.0344           0   477
  11.0545           0   478
  11.0745           0   479
  11.0945           0   480
  11.1146           0   481
  11.1346           0   482
  11.1546           0   483
  11.1747           0   484
  11.1947           0   485
  11.2147           0   486
  11.2347           0   487
  11.2548           0   488
  11.2748           0   489
  11.2948           0   490
  11.3149           0   491
  11.3349           0   492
  11.3549           0   493
  11.3750           0   494
  11.3950           0   495
  11.4150           0   496
  11.4350           0   497
  11.4551           0   498
  11.4751           0   499
  11.4951           0   500
  11.5152           0   501
  11.5352           0   502
  11.5552           0   503
  11.5753           0   504
  11.5953           0   505
  11.6153           0   506
  11.6354           0   507
  11.6554           0   508
  11.6754           0   509
  11.6954           0   510
  11.7155           0   511
  11.7355           0   512
  11.7555           0   513
  11.7756           0   514
  11.7956           0   515
  11.8156           0   516
  11.8357           0   517
  11.8557           0   518
  11.8757           0   519
  11.8957           0   520
  11.9158           0   521
  11.9358           0   522
  11.9558           0   523
  11.9759           0   524
  11.9959           0   525
  12.0159           0   526
  12.0360           0   527
  12.0560           0   528
  12.0760           0   529
  12.0960           0   530
  12.1161           0   531
  12.1361           0   532
  12.1561           0   533
  12.1762           0   534
  12.1962           0   535
  12.2162           0   536
  12.2363           0   537
  12.2563           0   538
  12.2763           0   539
  12.2964           0   540
  12.3164           0   541
  12.3364           0   542
  12.3564           0   543
  12.3765           0   544
  12.3965           0   545
  12.4165           0   546
  12.4366           0   547
  12.4566           0   548
  12.4766           0   549
  12.4967           0   550
  12.5167           0   551
  12.5367           0   552
  12.5567           0   553
  12.5768           0   554
  12.5968           0   555
  12.6168           0   556
  12.6369           0   557
  12.6569           0   558
  12.6769           0   559
  12.6970           0   560
  12.7170           0   561
  12.7370           0   562
  12.7571           0   563
  12.7771           0   564
  12.7971           0   565
  12.8171           0   566
  12.8372           0   567
  12.8572           0   568
  12.8772           0   569
  12.8973           0   570
  12.9173           0   571
  12.9373           0   572
  12.9574           0   573
  12.9774           0   574
  12.9974           0   575
  13.0174           0   576
  13.0375           0   577
  13.0575           0   578
  13.0775           0   579
  13.0976           0   580
  13.1176           0   581
  13.1376           0   582
  13.1577           0   583
  13.1777           0   584
  13.1977           0   585
  13.2177           0   586
  13.2378           0   587
  13.2578           0   588
  13.2778           0   589
  13.2979           0   590
  13.3179           0   591
  13.3379           0   592
