01-02-2022  00-02-00
 246   3.283 391.250   155
 247   3.303 392.500   146
 248   3.303 398.750   153
 249   3.323 402.500   145
 250   3.343 402.500   129
 251   3.343 417.500   131
 252   3.343 431.250   161
 253   3.343 441.250   135
 254   3.343 457.500   139
 255   3.363 420.000   131
 256   3.363 431.250   155
 257   3.383 433.750   123
 258   3.383 441.250   142
 259   3.383 458.750   153
 260   3.383 492.500   117
 261   3.403 456.250   136
 262   3.403 465.000   124
 263   3.403 473.750   131
 264   3.403 506.250   138
 265   3.423 477.500   100
 266   3.423 490.000   105
 267   3.423 506.250   124
 268   3.423 512.500   127
 269   3.423 540.000   104
 270   3.443 477.500    81
 271   3.443 488.750    98
 272   3.443 505.000    85
 273   3.443 513.750   108
 274   3.443 540.000    88
 275   3.463 488.750    82
 276   3.603 1007.500    61
