01-02-2022  23-55-00
175    3.4638  328.1248    170.00
176    3.4838  331.0545    165.00
177    3.5039  336.9139    167.00
178    3.5239  336.9139    170.00
179    3.5439  338.3787    167.00
180    3.5639  342.7733    161.00
181    3.5639  348.6326    167.00
182    3.5840  350.0975    170.00
183    3.6040  350.0975    176.00
184    3.6240  351.5623    164.00
185    3.6441  351.5623    161.00
186    3.6441  358.8865    159.00
187    3.6441  367.6756    170.00
188    3.6641  358.8865    159.00
189    3.6641  367.6756    164.00
190    3.6841  358.8865    147.00
191    3.6841  367.6756    151.00
192    3.6841  376.4647    161.00
193    3.6841  398.4373    125.00
194    3.7042  360.3514    135.00
195    3.7042  376.4647    161.00
196    3.7242  377.9295    161.00
197    3.7242  386.7186    163.00
198    3.7442  379.3943    158.00
199    3.7442  386.7186    165.00
200    3.7442  404.2967    182.00
201    3.7643  386.7186    165.00
202    3.7643  405.7615    172.00
203    3.7843  404.2967    168.00
204    3.7843  414.5506    174.00
205    3.7843  433.5935    153.00
206    3.8043  404.2967    154.00
207    3.8043  414.5506    162.00
208    3.8043  420.4099    171.00
209    3.8043  433.5935    168.00
210    3.8043  443.8474    172.00
211    3.8043  458.4959    147.00
212    3.8243  433.5935    164.00
213    3.8243  443.8474    162.00
214    3.8243  458.4959    171.00
215    3.8444  458.4959    171.00
216    3.9045  448.2420    148.00
217    3.9045  458.4959    147.00
218    3.9045  480.4685    141.00
219    3.9245  435.0584    145.00
220    3.9245  442.3826    145.00
221    3.9245  458.4959    148.00
222    3.9245  479.0037    141.00
223    3.9445  443.8474    145.00
224    3.9445  457.0310    151.00
225    3.9445  476.0740    147.00
226    3.9646  457.0310    145.00
227    3.9646  464.3552    141.00
228    3.9646  476.0740    148.00
