   data       UT           50      60       70       80      90       100      110      120      130      140      150      160      170      180      190      200      210      220      230      240      250      260      270      280      290      300      310      320      330      340      350      360      370      380      390      400      410      420      430      440      450      460      470      480      490      500

01-02-2022  0.05        0      775     3100     6975    12400    20000    22599    19686    19686    22599    25713    28649    32543    37542    44294    51604    59472    66168    72020    77500    81265    84470    87737    89728    93094    90396    89671    85796    80880    75230    69130    62831    56540    50424    44605    39168    34166    29623    25544    21919    18724    15931    13504    11410     9611     8074
