       52.884000      103.259000          2
    1.047400     0          2.933307     0  
           3     0           97     0
   1.0000       136.19
   1.0200       142.51
   1.0401       157.60
   1.0660       245.36
   1.0860       245.37
   1.1061       245.38
   1.1261       245.40
   1.1461       245.43
   1.1662       245.47
   1.1862       245.51
   1.2062       245.57
   1.2262       245.63
   1.2463       245.71
   1.2663       245.79
   1.2863       245.88
   1.3064       245.98
   1.3264       246.08
   1.3464       246.20
   1.3665       246.32
   1.3865       246.45
   1.4065       246.59
   1.4265       246.74
   1.4466       246.90
   1.4666       247.07
   1.4866       247.24
   1.5067       247.43
   1.5267       247.62
   1.5467       247.82
   1.5668       248.03
   1.5868       248.25
   1.6068       248.47
   1.6268       248.71
   1.6469       248.95
   1.6669       249.20
   1.6869       249.46
   1.7070       249.73
   1.7270       250.01
   1.7470       250.29
   1.7671       250.59
   1.7871       250.89
   1.8071       251.20
   1.8272       251.52
   1.8472       251.85
   1.8672       252.19
   1.8872       252.53
   1.9073       252.89
   1.9273       253.25
   1.9473       253.62
   1.9674       254.00
   1.9874       254.39
   2.0074       254.79
   2.0275       255.19
   2.0475       255.61
   2.0675       256.08
   2.0875       256.69
   2.1076       257.35
   2.1276       258.08
   2.1476       258.88
   2.1677       259.75
   2.1877       260.69
   2.2077       261.71
   2.2278       262.80
   2.2478       263.98
   2.2678       265.24
   2.2879       266.58
   2.3079       268.02
   2.3279       269.55
   2.3479       271.17
   2.3680       272.89
   2.3880       274.71
   2.4080       276.64
   2.4281       278.67
   2.4481       280.81
   2.4681       283.06
   2.4882       285.43
   2.5082       287.91
   2.5282       290.52
   2.5482       294.58
   2.5683       301.42
   2.5883       308.25
   2.6083       315.09
   2.6284       321.92
   2.6484       328.76
   2.6684       335.59
   2.6885       342.43
   2.7085       349.26
   2.7285       356.10
   2.7485       362.93
   2.7686       369.77
   2.7886       376.60
   2.8086       383.44
   2.8287       390.27
   2.8487       397.11
   2.8687       403.94
   2.8888       410.78
   2.9088       417.61
   2.9288       424.45
